Ecosystem	Package	Version	Scope	License	License files	Source
cargo	pin-project	1.1.13	cargo-lock	Apache-2.0 OR MIT		https://github.com/taiki-e/pin-project
cargo	pin-project-internal	1.1.13	cargo-lock	Apache-2.0 OR MIT		https://github.com/taiki-e/pin-project
cargo	pin-project-lite	0.2.17	cargo-lock	Apache-2.0 OR MIT		https://github.com/taiki-e/pin-project-lite
cargo	powerfmt	0.2.0	cargo-lock	MIT OR Apache-2.0		https://github.com/jhpratt/powerfmt
cargo	ppv-lite86	0.2.21	cargo-lock	MIT OR Apache-2.0		https://github.com/cryptocorrosion/cryptocorrosion
cargo	prettyplease	0.2.37	cargo-lock	MIT OR Apache-2.0		https://github.com/dtolnay/prettyplease
cargo	proc-macro2	1.0.107	cargo-lock	MIT OR Apache-2.0		https://github.com/dtolnay/proc-macro2
cargo	prost	0.13.5	cargo-lock	Apache-2.0		https://github.com/tokio-rs/prost
cargo	prost-build	0.13.5	cargo-lock	Apache-2.0		https://github.com/tokio-rs/prost
cargo	prost-derive	0.13.5	cargo-lock	Apache-2.0		https://github.com/tokio-rs/prost
cargo	prost-types	0.13.5	cargo-lock	Apache-2.0		https://github.com/tokio-rs/prost
cargo	protoc-bin-vendored	3.2.0	cargo-lock	MIT		https://github.com/stepancheg/rust-protoc-bin-vendored/
cargo	protoc-bin-vendored-linux-aarch_64	3.2.0	cargo-lock	MIT		https://github.com/stepancheg/rust-protoc-bin-vendored/
cargo	protoc-bin-vendored-linux-ppcle_64	3.2.0	cargo-lock	MIT		https://github.com/stepancheg/rust-protoc-bin-vendored/
cargo	protoc-bin-vendored-linux-s390_64	3.2.0	cargo-lock	MIT		https://github.com/stepancheg/rust-protoc-bin-vendored/
cargo	protoc-bin-vendored-linux-x86_32	3.2.0	cargo-lock	MIT		https://github.com/stepancheg/rust-protoc-bin-vendored/
cargo	protoc-bin-vendored-linux-x86_64	3.2.0	cargo-lock	MIT		https://github.com/stepancheg/rust-protoc-bin-vendored/
cargo	protoc-bin-vendored-macos-aarch_64	3.2.0	cargo-lock	MIT		https://github.com/stepancheg/rust-protoc-bin-vendored/
cargo	protoc-bin-vendored-macos-x86_64	3.2.0	cargo-lock	MIT		https://github.com/stepancheg/rust-protoc-bin-vendored/
cargo	protoc-bin-vendored-win32	3.2.0	cargo-lock	MIT		https://github.com/stepancheg/rust-protoc-bin-vendored/
cargo	quote	1.0.47	cargo-lock	MIT OR Apache-2.0		https://github.com/dtolnay/quote
cargo	r-efi	6.0.0	cargo-lock	MIT OR Apache-2.0 OR LGPL-2.1-or-later		https://github.com/r-efi/r-efi
cargo	rand	0.8.7	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-random/rand
cargo	rand_chacha	0.3.1	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-random/rand
